KEY;EN;RU;ES;PT;BR
MainMenu.Quote1;Russian armies destroy more enemy soldiers and weapons than all the other 25 United Nations states combined... - Franklin Roosevelt;Русские армии уничтожают больше солдат и вооружения противника, чем все остальные 25 государств объединенных наций вместе взятых… - Франклин Рузвельт;Los ejércitos rusos destruyen más soldados y armas enemigas que todos los otros 25 Estados de las Naciones Unidas combinados. - Franklin Roosevelt;Os exércitos russos matam mais soldados e armas do inimigo do que todos os outros 25 estados das Nações Unidas combinados. - Franklin D. Roosevelt;Os exércitos russos destroem mais soldados e armas inimigas do que todos os outros 25 estados das Nações Unidas juntos... - Franklin Roosevelt
MainMenu.Quote2;Hitler's crazy ideas were not destined to come true — the course of the war scattered them to dust. - Joseph Stalin;Сумасбродным идеям Гитлера не суждено было сбыться, — ход войны развеял их в прах. - Иосиф Сталин;Las ideas extravagantes de Hitler no estaban destinadas a hacerse realidad: el curso de la guerra las disipó en polvo. - Joseph Stalin;As idéias extravagantes de Hitler não estavam destinadas a se tornar realidade — o curso da guerra as dissipou em pó.  Joseph Stalin;As idéias malucas de Hitler não estavam destinadas a se tornar realidade — o curso da guerra as transformou em pó. - Josef Stalin
MainMenu.Quote3;The war has been won, but not the peace. - Albert Einstein;Выиграна война, но не мир. - Альберт Эйнштейн;Se gana la guerra pero no la paz. - Albert Einstein;A guerra foi vencida, mas não a paz.  Albert Einstein;A guerra foi ganha, mas não a paz. - Albert Einstein
MainMenu.Quote4;Together with the Leningraders, all Soviet people and all progressive humanity rejoiced at the great triumph of the city. - Harrison Salisbury;Вместе с ленинградцами великому торжеству города радовались все советские люди, все прогрессивное человечество. - Гаррисон Солсбери;Junto con los leningradenses, todos los soviéticos, toda la humanidad progresista, se regocijaron en el gran triunfo de la ciudad. - Harrison Salisbury;Juntamente com os leningradianos, todos os soviéticos, toda a humanidade progressista, se alegraram com o grande triunfo da cidade. - Harrison Salisbury;Juntamente com os Leningradenses, todo o povo soviético e toda a humanidade progressista se alegraram com o grande triunfo da cidade. - Harrison Salisbury
MainMenu.Quote5;England was offered a choice between war and dishonor. She chose dishonor and will get war. - Winston Churchill;Англии был предложен выбор между войной и бесчестием. Она выбрала бесчестие и получит войну. - Уинстон Черчилль;A Inglaterra se le ofreció la opción entre la guerra y la deshonra. Ella eligió la deshonra y recibirá la guerra. - Winston Churchill;A Inglaterra foi oferecida uma escolha entre a guerra e a desonra. Ela escolheu a desonra e terá a guerra. - Winston Churchill;Foi oferecida à Inglaterra uma escolha entre a guerra e a desonra. Ela escolheu a desonra e vai ter Guerra. - Winston Churchill
MainMenu.Quote6;The Russian army has gutted the German war machine. - Winston Churchill;Русская армия выпустила кишки из германской военной машины. - Уинстон Черчилль;El ejército ruso disparó las tripas de la máquina de guerra alemana. - Winston Churchill;O exército russo libertou as tripas da máquina de guerra alemã. - Winston Churchill;O exército russo destruiu a máquina de guerra alemã. - Winston Churchill
MainMenu.Quote7;The truth is that despite the hardest trials, we have won. - Alexander Chak'ovsky;Истина заключается в том, что, несмотря на тяжелейшие испытания, мы победили. - Александр Чаковский;La verdad es que, a pesar de las pruebas más difíciles, hemos ganado. - Alexander Chakovsky;A verdade é que, apesar das provações mais difíceis, vencemos. - Alexander Chakovsky;A verdade é que, apesar das provas mais duras, vencemos. - Alexandre Chak ' ovsky
MainMenu.Quote8;The history of wars knows of no other similar enterprise in terms of breadth of conception, grandiosity of scale and skill of execution. - Joseph Stalin;История войн не знает другого подобного предприятия по широте замысла, грандиозности масштабов и мастерству выполнения. - Иосиф Сталин;La historia de las guerras no conoce otra empresa similar en términos de amplitud de diseño, grandiosidad de escala y habilidad de ejecución. - Joseph Stalin;A história das guerras não conhece outro empreendimento semelhante em termos de amplitude de projeto, grandiosidade de escala e habilidade de execução.  Joseph Stalin;A história das guerras não conhece outro empreendimento semelhante em termos de amplitude de concepção, grandiosidade de escala e habilidade de execução. - Josef Stalin
MainMenu.Quote9;Even when the German troops were already halfway back, it was still talked about as a strategic withdrawal. In fact, this was the end of Hitler. The Nazi bull market ended on the day of the attack on Stalingrad. - Nicholas Darvas;Даже когда немецкие войска были уже на полпути назад, об этом по-прежнему говорили как о стратегическом отходе. Фактически же это был конец Гитлера. Нацистский бычий рынок закончился в день атаки на Сталинград. - Николас Дарвас;Incluso cuando las tropas alemanas ya estaban a mitad de camino, todavía se hablaba de una retirada estratégica. De hecho, fue el fin de Hitler. El mercado alcista nazi terminó el día del ataque a Stalingrado. - Nicholas Darvas;Mesmo quando as tropas alemãs já estavam a meio caminho de volta, isso ainda era falado como uma retirada estratégica. Foi o fim de Hitler. O mercado de Touro nazista terminou no dia do ataque a Stalingrado. - Nicholas Darvas;Mesmo quando as tropas alemãs já estavam na metade do caminho de volta, ainda era falado como uma retirada estratégica. Na verdade, esse foi o fim de Hitler. O mercado de Touros nazista terminou no dia do ataque a Stalingrado. - Nicholas Darvas
MainMenu.Quote10;I. V. Stalin was extremely intolerant of lateness to his calls. But what to do? The situation in the war does not take into account the characters of the commanders. - Georgy Zhukov;И. В. Сталин был крайне нетерпим к опозданиям на его вызовы. Но что делать? Обстановка на войне не считается с характерами командующих. - Георгий Жуков;J. V. Stalin era extremadamente intolerante a llegar tarde a sus desafíos. Pero, ¿qué hacer? La situación en la guerra no tiene en cuenta los personajes de los comandantes. - George Zhukov;J. V. Stalin era extremamente intolerante a atrasos em seus desafios. Mas o que fazer? A situação na guerra não conta com o caráter dos comandantes. - Georgy Zhukov;I. V. Stalin era extremamente intolerante com o atraso em suas ligações. Mas o que fazer? A situação na guerra não leva em conta os personagens dos comandantes. - Georgy Zhukov
MainMenu.Quote11;Historically, the victory of fascism is ridiculous and impossible, but I know that the only way to save humanity from destruction is by fighting. - - Dmitri Shostakovich;Исторически победа фашизма нелепа и невозможна, но я знаю, что спасти человечество от гибели можно только сражаясь. - Дмитрий Шостакович;Históricamente, la victoria del fascismo es ridícula e imposible, pero sé que la única manera de salvar a la humanidad de la destrucción es luchando. - Dmitry Shostakovich;Historicamente, a vitória do fascismo é ridícula e impossível, mas eu sei que a única maneira de salvar a humanidade da destruição é lutando. - Dmitry Shostakovich;Historicamente, a vitória do fascismo é ridícula e impossível, mas sei que a única maneira de salvar a humanidade da destruição é lutando. - Dmitry Shostakovich
MainMenu.Quote12;Under the leadership of Marshal Joseph Stalin, the Russian people showed such an example of love for the motherland, fortitude and self-sacrifice, which the world has never known before. - Franklin Roosevelt;Под руководством маршала Иосифа Сталина русский народ показал такой пример любви к родине, твердости духа и самопожертвования, какого еще не знал мир. - Франклин Рузвельт;Bajo el liderazgo del Mariscal Joseph Stalin, el pueblo ruso mostró un ejemplo de amor por la patria, firmeza de espíritu y sacrificio que el mundo aún no conocía. - Franklin Roosevelt;Sob a direção do marechal Joseph Stalin, o povo russo mostrou um exemplo de amor à pátria, de firmeza de espírito e de auto-sacrifício como o mundo ainda não conheceu. - Franklin Roosevelt;Sob a liderança do Marechal Joseph Stalin, o povo russo mostrou um exemplo de amor à pátria, fortaleza e auto-sacrifício, que o mundo nunca conheceu antes. - Franklin Roosevelt
MainMenu.Quote13;I have seen soldiers rise up to attack many times. It's not easy to rise to your height when the air is permeated with deadly metal. But they were rising! - Georgy Zhukov;Я много раз видел, как солдаты поднимались в атаку. Это нелегко: подняться в рост, когда смертоносным металлом пронизан воздух. Но они поднимались! - Георгий Жуков;He visto a los soldados subir al ataque muchas veces. No es fácil: subir a la altura cuando el metal mortal penetra en el aire. ¡Pero estaban subiendo! - George Zhukov;Vi muitas vezes os soldados subirem ao ataque. Não é fácil: crescer quando o metal Mortal permeia o ar. Mas eles subiram! - Georgy Zhukov;Já vi soldados se levantarem para atacar muitas vezes. Não é fácil subir à sua altura quando o ar está permeado de metal Mortal. Mas eles estavam subindo! - Georgy Zhukov
MainMenu.Warning;Attention;Внимание;Atención;Atenção;Atenção
MainMenu.WarningText;The advertising banner on the bottom right can be removed by clicking on it. However, it will load again instantly if you are in the main menu or in the mod editor. This means that if an advertisement covers part of the content, then while in the game you can hide it by clicking.;Рекламный баннер справа внизу можно убрать по нажатию на него. Однако он снова моментально загрузится если вы находитесь в главном меню или в редакторе модов. Это означает, что если реклама перекрывает часть контента, то находясь в игре вы можете скрыть её нажатием.;El banner publicitario en la parte inferior derecha se puede quitar haciendo clic en él. Sin embargo, se cargará de nuevo instantáneamente si está en el menú principal o en el Editor de mods. Esto significa que si los anuncios se superponen a parte del contenido, mientras estés en el juego, puedes ocultarlo haciendo clic.;O banner de publicidade na parte inferior direita pode ser removido clicando nele. No entanto, ele será carregado instantaneamente novamente se você estiver no menu principal ou no editor de mods. Isso significa que, se um anúncio sobrepor parte do conteúdo, você poderá ocultá-lo clicando no anúncio enquanto estiver no jogo.;O banner publicitário no canto inferior direito pode ser removido clicando nele. No entanto, ele será carregado novamente instantaneamente se você estiver no menu principal ou no editor de mod. Isso significa que, se um anúncio cobrir parte do conteúdo, enquanto estiver no jogo, você poderá ocultá-lo clicando em.
AUTH_ERROR.NO_HASHED_PASSWORD;Your password is not hashed, which means it is vulnerable to hacking! To avoid this, go to the website and log in to your account. After that, you can try logging into your account in the game. Thanks for understanding;Ваш пароль не хеширован, а значит уязвим для взлома! Чтобы этого избежать перейдите на сайт и войдите в аккаунт. После этого можете пробовать зайти в аккаунт в игре. Спасибо за понимание;Su contraseña no está codificada, lo que significa que es vulnerable a la piratería! Para evitar esto, vaya al sitio e inicie sesión en su cuenta. Después de eso, puedes intentar ingresar a la cuenta en el juego. Gracias por su comprensión;Sua senha não é hash, o que significa que é vulnerável a hackers! Para evitar isso, acesse o site e faça login na sua conta. Depois disso, você pode tentar entrar na conta do jogo. Obrigado PELA compreensão;Sua senha não é hash, o que significa que é vulnerável a hackers! Para evitar isso, acesse o site e faça login na sua conta. Depois disso, você pode tentar entrar na sua conta no jogo. Obrigado PELA compreensão
AUTH_ERROR.INCORRECT_DATA;Incorrect username or password;Неправильный логин или пароль;Nombre de usuario o contraseña incorrectos;Login ou senha inválidos;Nome de usuário ou senha incorretos
AUTH_ERROR.ACCOUNT_NOT_EXIST;There is no such user;Такого пользователя не существует;Este usuario no existe;Esse usuário não existe;Não existe tal usuário
Abkhazia;Abkhazia;Абхазия;Abjasia;Abecásia;Abecásia
Afganistan;Afganistan;Афганистан;Afganistán;Afeganistão;Afeganistão
Albania;Albania;Албания;Albania;Albânia;Albânia
Algeria;Algeria;Алжир;Argelia;Argélia;Argélia
Armenia;Armenia;Армения;Armenia;Armênia;Armênia
Austria;Austria;Австрия;Austria;Áustria;Áustria
Azerbaijan;Azerbaijan;Азербайджан;Azerbaiyán;Azerbaijão;Azerbaijão
Banat;Banat;Банат;Banato;Banat;Banat
Bashkortostan;Bashkortostan;Башкортостан;Bashkortostán;Bascortostão;Bascortostão
Belarus;Belarus;Беларусь;Bielorrusia;Bielorrússia;Bielorrússia
Belgium;Belgium;Бельгия;Bélgica;Bélgica;Bélgica
Bosnia Herzegovina;Bosnia Herzegovina;Босния Герцеговина;bosniaherzegovina;Bósnia e Herzegovina;Bósnia e Herzegovina
British Raj;British Raj;Британский Радж;Raj británico;Raj Britânico;Raj Britânico
Bulgaria;Bulgaria;Болгария;Bulgaria;Bulgária;Bulgária
Burkina-Faso;Burkina-Faso;Буркина-Фасо;Burkina Faso;Burkina Faso;Burkina Faso
Chad;Chad;Чад;Chad;Chade;Chade
Chechnya;Chechnya;Чечня;Chechenia;Chechênia;Chechênia
Chuvashia;Chuvashia;Чувашия;Chuvasia;Chuváchia;Chuváchia
Circassia;Circassia;Черкесия;circasia;Circássia;Circássia
Crimea;Crimea;Крым;Crimea;Crimeia;Crimeia
Croatia;Croatia;Хорватия;Croacia;Croácia;Croácia
Czechoslovakia;Czechoslovakia;Чехословакия;Checoslovaquia;Checoslováquia;Checoslováquia
Dagestan;Dagestan;Дагестан;Daguestán;Daguestão;Daguestão
Free City of Danzig;Free City of Danzig;Вольный город Данциг;Ciudad libre de Danzig;Cidade Livre de Danzig;Cidade Livre de Danzig
Denmark;Denmark;Дания;Dinamarca;Dinamarca;Dinamarca
Djibuti;Djibuti;Джибути;Yibuti;Djibuti;Djibuti
DDR;DDR;ГДР;DDR;DDR;DDR
Egypt;Egypt;Египет;Egipto;Egito;Egito
England;England;Англия;Inglaterra;Inglaterra;Inglaterra
Eritrea;Eritrea;Эритрея;Eritrea;Eritreia;Eritreia
Estonia;Estonia;Эстония;Estonia;Estônia;Estônia
Ethiopia;Ethiopia;Эфиопия;Etiopía;Etiópia;Etiópia
Finland;Finland;Финляндия;Finlandia;Finlândia;Finlândia
France;France;Франция;Francia;França;França
Free France;Free France;Свободная Франция;Francia libre;França Livre;França Livre
FRG;FRG;ФРГ;RFA;Alemanha;Alemanha
Georgia;Georgia;Грузия;Georgia;Geórgia;Geórgia
Third Reich;Third Reich;Третий рейх;Tercer Reich;Terceiro Reich;Terceiro Reich
Greece;Greece;Греция;Grecia;Grécia;Grécia
Guinea;Guinea;Гвинея;Guinea;Guiné;Guiné
Guinea-Bissau;Guinea-Bissau;Гвинея-Бисау;Guinea-Bisáu;Guiné-Bissau;Guiné-Bissau
Hungary;Hungary;Венгрия;Hungría;Hungria;Hungria
Iceland;Iceland;Исландия;Islandia;Islândia;Islândia
Iran;Iran;Иран;Irán;Irã;Irã
Iraq;Iraq;Ирак;Irak;Iraque;Iraque
Ireland;Ireland;Ирландия;Irlanda;Irlanda;Irlanda
Israel;Israel;Израиль;Israel;Israel;Israel
Italy;Italy;Италия;Italia;Itália;Itália
Jordan;Jordan;Иордания;Jordán;Jordânia;Jordânia
Kabardino-Balkaria;Kabardino-Balkaria;Кабардино-Балкария;Kabardia-Balkaria;Cabardino-Balcária;Cabardino-Balcária
Kalmykia;Kalmykia;Калмыкия;Kalmukia;Calmúquia;Calmúquia
Kazakhstan;Kazakhstan;Казахстан;Kazajstán;Cazaquistão;Cazaquistão
Kyrgyzstan;Kyrgyzstan;Кыргызстан;Kirguistán;Quirguistão;Quirguistão
Kosovo;Kosovo;Косово;Kosovo;Kosovo;Kosovo
Krasnodar;Krasnodar;Краснодар;Krasnodar;Krasnodar;Krasnodar
Kurdistan;Kurdistan;Курдистан;Kurdistán;Curdistão;Curdistão
Kuwait;Kuwait;Кувейт;Kuwait;Kuwait;Kuwait
Latvia;Latvia;Латвия;Letonia;Letônia;Letônia
Lebanon;Lebanon;Ливан;Líbano;Líbano;Líbano
Libya;Libya;Ливия;Libia;Líbia;Líbia
Lithuania;Lithuania;Литва;Lituania;Lituânia;Lituânia
Luxembourg;Luxembourg;Люксембург;Luxemburgo;Luxemburgo;Luxemburgo
Mali;Mali;Мали;Malí;Mali;Mali
Mari El;Mari El;Марий Эл;Mari-El;Mari El;Mari El
Mauritania;Mauritania;Мавритания;Mauritania;Mauritânia;Mauritânia
Moldova;Moldova;Молдова;Moldavia;Moldávia;Moldávia
Montenegro;Montenegro;Черногория;Montenegro;Montenegro;Montenegro
Mordovia;Mordovia;Мордовия;Mordovia;Mordóvia;Mordóvia
Morocco;Morocco;Марокко;Marruecos;Marrocos;Marrocos
Netherlands;Netherlands;Нидерланды;Países Bajos;Holanda;Holanda
Niger;Niger;Нигер;Níger;Níger;Níger
Northern Macedonia;Northern Macedonia;Северная Македония;Macedonia del Norte;Macedônia do Norte;Macedônia do Norte
Norway;Norway;Норвегия;Noruega;Noruega;Noruega
Oman;Oman;Оман;Omán;Omã;Omã
Ossetia;Ossetia;Осетия;Osetia;Ossétia;Ossétia
Pakistan;Pakistan;Пакистан;Pakistán;Paquistão;Paquistão
Palestine;Palestine;Палестина;Palestina;Palestina;Palestina
Poland;Poland;Польша;Polonia;Polônia;Polônia
Portugal;Portugal;Португалия;Portugal;Portugal;Portugal
Prussia;Prussia;Пруссия;Prusia;Prússia;Prússia
Romania;Romania;Румыния;Rumania;Romênia;Romênia
Rostov;Rostov;Ростов;Rostov;Rostov;Rostov
Russia;Russia;Россия;Rusia;Rússia;Rússia
SaudiArabia;SaudiArabia;Саудовская Аравия;Arabia Saudita;Arábia Saudita;Arábia Saudita
Saxony;Saxony;Саксония;Sajonia;Saxônia;Saxônia
Scotland;Scotland;Шотландия;Escocia;Escócia;Escócia
Senegal;Senegal;Сенегал;Senegal;Senegal;Senegal
Serbia;Serbia;Сербия;Serbia;Sérvia;Sérvia
Sirya;Sirya;Сирья;siria;Sirya;Sirya
Slovakia;Slovakia;Словакия;Eslovaquia;Eslováquia;Eslováquia
Slovenia;Slovenia;Словения;Eslovenia;Eslovênia;Eslovênia
Spain;Spain;Испания;España;Espanha;Espanha
Sudan;Sudan;Судан;Sudán;Sudão;Sudão
Sweden;Sweden;Швеция;Suecia;Suécia;Suécia
Switzerland;Switzerland;Швейцария;Suiza;Suíça;Suíça
Tajikistan;Tajikistan;Таджикистан;Tayikistán;Tadjiquistão;Tadjiquistão
Tatarstan;Tatarstan;Татарстан;Tartaristán;Tartaristão;Tartaristão
Tunisia;Tunisia;Тунис;Túnez;Tunísia;Tunísia
Turkey;Turkey;Турция;Pavo;Peru;Peru
Turkmenistan;Turkmenistan;Туркменистан;Turkmenistán;Turcomenistão;Turcomenistão
Ukraine;Ukraine;Украина;Ucrania;Ucrânia;Ucrânia
United Kingdom;United Kingdom;Великобритания;Reino Unido;Reino Unido;Reino Unido
USSR;USSR;СССР;URSS;URSS;URSS
Uzbekistan;Uzbekistan;Узбекистан;Uzbekistán;Uzbequistão;Uzbequistão
Vichy France;Vichy France;Виши Франция;Vichy Francia;Vichy França;Vichy França
Vojvodina;Vojvodina;Воеводина;Voivodina;Voivodina;Voivodina
Wales;Wales;Уэльс;Gales;País de Gales;País de Gales
Waziristan;Waziristan;Вазиристан;Waziristán;Waziristão;Waziristão
Yemen;Yemen;Йемен;Yemen;Iémen;Iémen
